Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn,State,City,Tenure,Agegroup,Spendperyear,Siteperyear,HasAccountManager,Onboard_year,OnboardQuarter,CompanyRisk,EngagementScore,LoyaltyScore
David Montes,45,7351.38,0,5.76,11,2016-10-06 23:11:00,"666 Julie Ports Apt. 094 South Johntown, MO 10168-2804",Watson-Hall,1,MO,Johntown,5-10years,45-55,1276.28,1.9,No,2016,4,1.0,63.36,1087.48
Robin Rowe,30,7960.64,1,2.72,10,2016-04-15 12:08:00,"87953 Fuller Turnpike Apt. 510 Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1,MH,Russellstad,1-3years,25-35,2926.71,3.7,Yes,2016,2,1.0,27.200000000000003,2139.96
Amber Spears,41,13365.66,1,8.36,9,2008-07-26 03:00:00,"455 Garcia Via Suite 177 Lake Jefferyside, MN 81187",Gray Inc,1,MN,Jefferyside,5-10years,35-45,1598.76,1.1,Yes,2008,3,1.0,75.24,1427.96
Kathy Johnson,32,8617.98,1,6.2,10,2008-05-14 16:07:00,"570 Smith Mountains Hunterview, OK 46533",Jordan-Murphy,1,OK,Hunterview,5-10years,25-35,1390.0,1.6,Yes,2008,2,1.0,62.0,1196.94
Thomas Rose,52,11849.13,0,6.8,11,2012-08-18 09:16:00,"9928 Lawson Court Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1,KS,Andersonborough,5-10years,45-55,1742.52,1.6,No,2012,3,1.0,74.8,1519.12
Sandra Williams,37,11145.95,1,5.87,11,2013-01-10 10:11:00,"0728 Melton Avenue Robertville, KY 71675-3667",Baker Ltd,1,KY,Robertville,5-10years,35-45,1898.8,1.9,Yes,2013,1,1.0,64.57000000000001,1622.41
Nathan Murphy,42,9577.42,0,5.86,11,2012-01-18 00:52:00,"34489 Andrew Wells North Charlesport, RI 48537",Deleon Ltd,1,RI,Charlesport,5-10years,35-45,1634.37,1.9,No,2012,1,1.0,64.46000000000001,1396.13
Ryan Weaver,39,10110.4,1,5.78,13,2009-03-10 21:58:00,"8306 Nicole Lane Moranmouth, PR 36299","Keith, Richardson and Thomas",1,PR,Moranmouth,5-10years,35-45,1749.2,2.2,Yes,2009,1,1.0,75.14,1491.21
Jennifer King,43,8024.08,0,4.08,12,2016-02-20 07:00:00,"44850 Dennis Meadows Suite 044 Dariusland, IL 05918","Hunter, Reyes and Rivera",1,IL,Dariusland,3-5years,35-45,1966.69,2.9,No,2016,1,1.0,48.96,1579.54
Theresa Berry,52,8563.24,0,5.29,11,2010-03-24 16:20:00,"1733 Theresa Port North Jason, WY 15864",Jones LLC,1,WY,Jason,5-10years,45-55,1618.76,2.1,No,2010,1,0.5,58.19,1361.41
Robin Burke,40,9403.58,1,6.01,9,2014-07-31 01:07:00,"7225 James Corners Christopherville, OH 19625-4299",Patel PLC,1,OH,Christopherville,5-10years,35-45,1564.66,1.5,Yes,2014,3,1.0,54.089999999999996,1341.45
Todd Thompson,38,12520.53,1,6.3,11,2008-10-19 09:18:00,"2779 Dalton Ports New James, AS 59322-0419","Guzman, Johnson and Berry",1,AS,James,5-10years,35-45,1987.39,1.7,Yes,2008,4,1.0,69.3,1715.14
John Thomas,53,13655.59,1,2.05,10,2013-12-24 14:28:00,"342 Jensen Dam West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1,PW,Kylehaven,1-3years,45-55,6661.26,4.9,Yes,2013,4,1.0,20.5,4477.24
Timothy Johnston,41,12680.46,0,5.92,11,2010-03-29 17:41:00,"44906 Walker Plaza Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1,AK,Sanchezshire,5-10years,35-45,2141.97,1.9,No,2010,1,1.0,65.12,1832.44
Sarah Holloway,45,8429.65,1,7.1,10,2006-08-26 16:40:00,"099 Lopez Crescent Jamesport, OK 31273",Harrison-Ferrell,1,OK,Jamesport,5-10years,45-55,1187.27,1.4,Yes,2006,3,1.0,71.0,1040.7
Scott Chambers,44,11424.0,1,5.98,10,2011-11-16 06:51:00,"9525 Allen Camp Apt. 362 West Dawnmouth, GA 04347","Davis, Cole and Thompson",1,GA,Dawnmouth,5-10years,35-45,1910.37,1.7,Yes,2011,4,1.0,59.800000000000004,1636.68
Kathryn Ponce,46,13725.55,0,5.09,9,2006-03-04 00:11:00,"43798 Jones Garden Apt. 027 Monicashire, ND 82344","Cochran, Molina and Higgins",1,ND,Monicashire,5-10years,45-55,2696.57,1.8,No,2006,1,1.0,45.81,2253.78
Patrick Robinson,47,7396.1,0,4.11,11,2014-03-10 06:51:00,"753 Sara Fall Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1,OK,Erinmouth,3-5years,45-55,1799.54,2.7,No,2014,1,1.0,45.21,1447.38
Laurie Green,51,8100.43,1,4.92,13,2006-01-14 01:47:00,"74631 Kyle Mountain Apt. 268 Andrewmouth, MI 55255","Callahan, Hinton and Murray",1,MI,Andrewmouth,3-5years,45-55,1646.43,2.6,Yes,2006,1,1.0,63.96,1368.32
Amber Hobbs,43,10400.88,0,5.84,10,2013-03-28 20:04:00,"8044 Bates Spring Jonesborough, LA 63728","Nelson, Ray and Johnson",1,LA,Jonesborough,5-10years,35-45,1780.97,1.7,No,2013,1,1.0,58.4,1520.6
Tina King,40,8625.96,1,6.27,13,2008-08-07 01:50:00,"80203 Brandon Hill Apt. 353 New Luisport, VA 65076",Franco-Jones,1,VA,Luisport,5-10years,35-45,1375.75,2.1,Yes,2008,3,1.0,81.50999999999999,1186.51
David Hess,41,5192.38,1,4.86,11,2015-11-06 03:12:00,"PSC 1062, Box 1827 APO AA 46087-7414",Johnson-Walker,1,Box,1062,3-5years,35-45,1068.39,2.3,Yes,2015,4,1.0,53.46,886.07
Jose Lee,45,12455.38,0,3.26,11,2015-02-24 14:54:00,"036 Hunter Heights Suite 701 New Rickey, HI 95539-9622",Nelson LLC,1,HI,Rickey,3-5years,45-55,3820.67,3.4,No,2015,1,0.5,35.86,2923.8
Brian Young,49,10522.21,0,7.25,14,2014-11-08 00:40:00,Unit 6711 Box 7964 DPO AA 27820,Munoz Ltd,1,,27820,5-10years,45-55,1451.34,1.9,No,2014,4,1.0,101.5,1275.42
Erica Flores,38,9624.18,0,5.53,12,2008-12-22 06:09:00,"421 Kevin Shoal Grahamport, RI 11504",Carey Ltd,1,RI,Grahamport,5-10years,35-45,1740.36,2.2,No,2008,4,1.0,66.36,1473.84
Brenda Hall,37,11628.1,1,6.83,10,2010-02-20 16:08:00,"1877 Tara Streets West Sarah, MN 39500",Rosales Inc,1,MN,Sarah,5-10years,35-45,1702.5,1.5,Yes,2010,1,1.0,68.3,1485.07
Dakota Williams,41,13190.3,1,7.38,10,2012-09-12 14:15:00,"22194 Hernandez Roads Hubbardville, MH 97331-5191","Hughes, Evans and Richardson",1,MH,Hubbardville,5-10years,35-45,1787.3,1.4,Yes,2012,3,1.0,73.8,1574.02
Tammy Reed,49,13173.8,1,6.36,12,2007-10-09 18:07:00,"3067 Lindsay Road Apt. 683 Port Jonathan, NY 84626-8850",Russo-Rivas,1,NY,Jonathan,5-10years,45-55,2071.35,1.9,Yes,2007,4,1.0,76.32000000000001,1789.92
Devin Cook,29,8688.17,1,5.7,9,2015-02-05 11:35:00,"237 Antonio Lock Lake Christianville, IN 42022",Fleming LLC,1,IN,Christianville,5-10years,25-35,1524.24,1.6,Yes,2015,1,1.0,51.300000000000004,1296.74
Joseph Mitchell,40,11434.61,1,8.51,10,2009-11-17 23:38:00,"3422 Zhang View Estradabury, SC 66970-2923",Lee LLC,1,SC,Estradabury,5-10years,35-45,1343.67,1.2,Yes,2009,4,1.0,85.1,1202.38
Brett Allen MD,45,12309.39,1,4.57,11,2008-02-07 15:42:00,"03559 Rodriguez Prairie Apt. 826 Rachelfurt, ND 85441",Brown-Rangel,1,ND,Rachelfurt,3-5years,45-55,2693.52,2.4,Yes,2008,1,1.0,50.27,2209.94
Daniel Bates,30,10744.14,1,7.16,9,2008-09-13 11:53:00,"488 Lewis Village Crawfordborough, WY 43563",Hunt PLC,1,WY,Crawfordborough,5-10years,25-35,1500.58,1.3,Yes,2008,3,1.0,64.44,1316.68
Chelsea Ward,43,12104.25,0,5.86,7,2009-09-27 04:12:00,"5279 Grace Mountain Loriland, IL 83900","Hatfield, Johnson and George",1,IL,Loriland,5-10years,35-45,2065.57,1.2,No,2009,3,1.0,41.02,1764.47
Ryan Richardson,45,11599.27,1,4.78,11,2006-11-22 21:46:00,"31574 Sarah Pine Apt. 359 Harryside, NJ 02405-8870",Cross-Jones,1,NJ,Harryside,3-5years,45-55,2426.63,2.3,Yes,2006,4,1.0,52.580000000000005,2006.79
Stephen Callahan,42,6635.19,0,6.68,11,2006-07-24 18:29:00,USS Booth FPO AP 73462,Shaw-Rivera,1,,73462,5-10years,35-45,993.29,1.6,No,2006,3,1.0,73.47999999999999,863.96
Mrs. Melinda Davila,51,10978.16,1,6.95,11,2013-08-10 02:49:00,"5843 Byrd Corner Monicaport, SC 44357",Perry and Sons,1,SC,Monicaport,5-10years,45-55,1579.59,1.6,Yes,2013,3,0.5,76.45,1380.9
Carla Howell,44,13743.27,0,7.8,11,2011-06-11 00:48:00,"55353 Barker Burg East Willietown, HI 30805","Edwards, Webster and Gross",1,HI,Willietown,5-10years,35-45,1761.96,1.4,No,2011,2,1.0,85.8,1561.74
Eric Kelley,43,10271.19,1,5.31,14,2011-07-19 10:28:00,"98472 Meghan Mall Port Lauren, LA 49472","Santos, Hoffman and Harper",1,LA,Lauren,5-10years,35-45,1934.31,2.6,Yes,2011,3,1.0,74.33999999999999,1627.76
Randy Hayes,43,6715.23,0,4.16,8,2007-02-17 15:33:00,"PSC 1001, Box 5072 APO AP 43490",Taylor-Vaughn,1,Box,1001,3-5years,35-45,1614.24,1.9,No,2007,1,1.0,33.28,1301.4
Jeffrey Glenn,50,10199.44,0,5.79,9,2012-10-09 17:29:00,"6431 Caldwell Spring Port Gregorymouth, VI 76545-9829",Medina-Dominguez,1,VI,Gregorymouth,5-10years,45-55,1761.56,1.6,No,2012,4,1.0,52.11,1502.13
Megan Tucker,38,11386.56,0,8.82,9,2011-11-20 17:11:00,"63080 Christopher Fork Suite 353 Jacobshire, TN 98279-1399",Taylor-Guerrero,1,TN,Jacobshire,5-10years,35-45,1290.99,1.0,No,2011,4,1.0,79.38,1159.53
Michael Acosta,49,12112.53,0,7.31,9,2012-03-03 18:57:00,"73511 James Skyway Apt. 750 Port Scott, FM 96780",Ward-Bennett,1,FM,Scott,5-10years,45-55,1656.98,1.2,No,2012,1,1.0,65.78999999999999,1457.58
